title,brand,rating,reviews,price,original_price,discount,url
"MOTOROLA 7 kg Semi Automatic Top Load Washing Machine White, Purple  (MTSA705NNNDP)",,4.3,"13,054 Ratings & 1,099 Reviews","₹ 7,990","₹ 13,490",40% off,https://www.flipkart.com/motorola-7-kg-semi-automatic-top-load-washing-machine-white-purple/p/itm5656556a66622?pid=WMNGYHCPBUZCRTVS&lid=LSTWMNGYHCPBUZCRTVSBH1UBI&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_21&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhRW0ts71DMsmwzAVeFS0QyvKObRdHi_uNbO10mseY5o5mJMZAJirnjvZRqZ0WhE16A%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
Thomson 7 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Blue  (TSA7000SP),Thomson,4.1,"25,404 Ratings & 2,196 Reviews",,,27% off,https://www.flipkart.com/thomson-7-kg-5-star-aqua-magic-semi-automatic-top-load-washing-machine-blue/p/itmdb64fb93d499e?pid=WMNGR5WS35EEGMGC&lid=LSTWMNGR5WS35EEGMGCVZAOXD&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_22&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhSxG0CPjRxOUum6-ZAP-UcS9E_FFp0wyaVrm7CGqETGnE4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
Voltas Beko by A Tata Product 6.5 kg 5 Star Eco-Series Fully Automatic Top Load Washing Machine Grey  (WTL6504UEA/OBS1P10),Voltas Beko,4.1,"1,926 Ratings & 139 Reviews",,,36% off,https://www.flipkart.com/voltas-beko-tata-product-6-5-kg-5-star-eco-series-fully-automatic-top-load-washing-machine-grey/p/itm1f1d76d2b55eb?pid=WMNGYCHPFBTWPYC5&lid=LSTWMNGYCHPFBTWPYC5AXOYJ9&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_23&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGYCHPFBTWPYC5.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"LG 8 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Automatic Top Load Washing Machine Black  (T80VBMB4Z)",LG,4.4,"78,338 Ratings & 5,611 Reviews",,,31% off,https://www.flipkart.com/lg-8-kg-5-star-smart-inverter-technology-turbodrum-diagnosis-soft-closing-door-fully-automatic-top-load-washing-machine-black/p/itma69f01a7f0c0a?pid=WMNH76QUG3YYG4DF&lid=LSTWMNH76QUG3YYG4DFA3GS8Q&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_24&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNH76QUG3YYG4DF.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"LG 9 kg 5 Star, AI Direct Drive Technology, 6 Motion Direct Drive, Steam Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey  (THD09SPM)",LG,4.4,"78,338 Ratings & 5,611 Reviews","₹ 27,990","₹ 36,490",23% off,https://www.flipkart.com/lg-9-kg-5-star-ai-direct-drive-technology-6-motion-drive-steam-fully-automatic-top-load-washing-machine-in-built-heater-black-grey/p/itmbb4ac152e5c59?pid=WMNH3G6QYPQJDJ3S&lid=LSTWMNH3G6QYPQJDJ3SZ1XD9U&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_25&otracker=search&fm=organic&iid=8e99d080-32d4-42f7-9e91-0e98e89fef00.WMNH3G6QYPQJDJ3S.SEARCH&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PRO SW 6.5 (H) GREY 10YMW),Whirlpool,4.1,"38,929 Ratings & 2,523 Reviews","₹ 16,490","₹ 21,150",22% off,https://www.flipkart.com/whirlpool-6-5-kg-fully-automatic-top-load-washing-machine-in-built-heater-grey/p/itm9fe0dcaaaf7bf?pid=WMNGVNUZEKPK7WWS&lid=LSTWMNGVNUZEKPK7WWSBBUDYL&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_26&otracker=search&fm=organic&iid=8e99d080-32d4-42f7-9e91-0e98e89fef00.WMNGVNUZEKPK7WWS.SEARCH&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black  (RMSA705NNNDW)",,4.2,"85,791 Ratings & 7,629 Reviews",,,36% off,https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6?pid=WMNGBFX49DZJWFKZ&lid=LSTWMNGBFX49DZJWFKZKCTHM6&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_27&otracker=search&fm=organic&iid=en_oQ6IEBDRtUvP45joFdeZrLaFrXNl16bHWyrOa_NQOVqiYFdrgFD0vwa2zR5gNtVCb4SLIjPCECtl0KuyOuSs2_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black  (TSA7500SP),Thomson,4.1,"25,404 Ratings & 2,196 Reviews","₹ 7,899","₹ 11,499",31% off,https://www.flipkart.com/thomson-7-5-kg-5-star-aqua-magic-semi-automatic-top-load-washing-machine-black/p/itme8d187d783edc?pid=WMNGR5WSESZZXFA4&lid=LSTWMNGR5WSESZZXFA4XW866G&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_28&otracker=search&fm=organic&iid=en_oQ6IEBDRtUvP45joFdeZrLaFrXNl16bHWyrOa_NQOVpM0szL1Ne6L0Q2IzDkCTh_rT_zl-L7vaO7hNJCNbDSHA%3D%3D&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
"MarQ by Flipkart 7 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White  (MQSA705NNNDN)",,4.3,"58,902 Ratings & 5,867 Reviews",,,46% off,https://www.flipkart.com/marq-flipkart-7-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-blue-white/p/itm461e5e0bd2125?pid=WMNGYHCPZ7AYPPHH&lid=LSTWMNGYHCPZ7AYPPHHKWJWSE&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_29&otracker=search&fm=organic&iid=8e99d080-32d4-42f7-9e91-0e98e89fef00.WMNGYHCPZ7AYPPHH.SEARCH&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
"Voltas Beko 6 kg Semi Automatic Top Load Washing Machine Maroon, White  (WTT60UNX/OK3R0R0W01)",Voltas Beko,4.3,"22,160 Ratings & 1,515 Reviews","₹ 7,490","₹ 12,000",37% off,https://www.flipkart.com/voltas-beko-6-kg-semi-automatic-top-load-washing-machine-maroon-white/p/itmeee255492de36?pid=WMNHYW2PFVDVWGYH&lid=LSTWMNHYW2PFVDVWGYH5HXDCL&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_30&otracker=search&fm=organic&iid=8e99d080-32d4-42f7-9e91-0e98e89fef00.WMNHYW2PFVDVWGYH.SEARCH&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)",,4.2,"85,791 Ratings & 7,629 Reviews","₹ 8,290","₹ 13,990",40% off,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615?pid=WMNGATRJPSSNF4BN&lid=LSTWMNGATRJPSSNF4BNVZQWDR&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_31&otracker=search&fm=organic&iid=en_oQ6IEBDRtUvP45joFdeZrLaFrXNl16bHWyrOa_NQOVqlUDDwdf7UaFtkoRuDMeoVPAOeQAZkKPzjPMqw_SD3DPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=za3fvjw33k0000001756198883067&qH=b3522a5e7056c9c0
